Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Cash flow from operating activities, Trailing 12 months","Cash flow from operating activities, Trailing 12 months - Currency","Cash flow from investing activities, Trailing 12 months","Cash flow from investing activities, Trailing 12 months - Currency","Cash flow from financing activities, Trailing 12 months","Cash flow from financing activities, Trailing 12 months - Currency","Free cash flow, Trailing 12 months","Free cash flow, Trailing 12 months - Currency","Capital expenditures, Trailing 12 months","Capital expenditures, Trailing 12 months - Currency"
CSB,Cashbuild Limited,2026-H1,2025-12-31,962414000,ZAR,-1739460000,ZAR,-415577000,ZAR,706869000,ZAR,263226999.99999997,ZAR
MDI,Master Drilling Group Ltd.,2025-H2,2025-12-31,310803503.766303,ZAR,-262799192.20089403,ZAR,-9947946.16917386,ZAR,3804070,ZAR,306999434.675252,ZAR
IOC,iOCO Limited,2026-H1,2026-01-31,294165000,ZAR,-63838000,ZAR,-152838000,ZAR,264543000,ZAR,68638000,ZAR
AXX,Araxi Limited,2025-H1,2025-09-30,234122000,ZAR,-42780000,ZAR,-216151000,ZAR,188737000,ZAR,34890000,ZAR
LBR,Libstar Holdings Ltd.,2025-H2,2025-12-31,747980000,ZAR,-167611000,ZAR,-584352000,ZAR,555292000,ZAR,192688000,ZAR
CLH,City Lodge Hotels Limited,2026-H1,2025-12-31,419754000,ZAR,-204612000,ZAR,-201194000,ZAR,156785000,ZAR,262969000,ZAR
JBL,Jubilee Metals Group PLC,2026-H1,2025-12-31,,,,,,,,,,
FTH,Frontier Transport Holdings Limited,2025-H1,2025-09-30,424632000,ZAR,-94054000,ZAR,-284590000,ZAR,297965000,ZAR,126866000,ZAR
ART,Argent Industrial Limited,2025-H1,2025-09-30,393036000,ZAR,-109400000,ZAR,-114923000,ZAR,279973000,ZAR,118751000,ZAR
BWN,Balwin Properties Ltd.,2025-H2,2026-02-28,198747000,ZAR,-140564000,ZAR,-104405000,ZAR,151777000,ZAR,52957000,ZAR
ZED,Zeder Investments Limited,2025-H2,2026-02-28,71000000,ZAR,0,ZAR,0,ZAR,,,,
QFH,Quantum Foods Holdings Ltd,2025-H2,2025-09-30,309317000,ZAR,-247523000,ZAR,-35943000,ZAR,47950000,ZAR,261947000,ZAR
OAS,Oasis Crescent Property Fund,2025-H2,2026-03-31,86615000,ZAR,23276000,ZAR,-52994000,ZAR,70196000,ZAR,16419000,ZAR
SCD,Schroder European Real Estate Investment Trust Plc,2025-H2,2025-09-30,125850551.59766814,ZAR,219937675.2586398,ZAR,-325535031.01283354,ZAR,125850549.66956522,ZAR,0,ZAR
NVS,Novus Holdings Ltd.,2025-H1,2025-09-30,926609000,ZAR,-345195000,ZAR,-149588000,ZAR,855524000,ZAR,88873000,ZAR
GML,Gemfields Group Limited,2025-H2,2025-12-31,304800975.10232204,ZAR,-50620595.2379171,ZAR,533627613.651204,ZAR,-375440430,ZAR,744312164.5144061,ZAR
UPL,Universal Partners Ltd.,2026-Q3,2026-03-31,-18236296.57459971,ZAR,50892496.31026686,ZAR,-30435314.582836423,ZAR,-18236393.18568995,ZAR,0,ZAR
MMP,Marshall Monteagle PLC,2025-H1,2025-09-30,-122493663.521441,ZAR,-199880016.04442102,ZAR,-25543948.387373403,ZAR,-133056559.99999999,ZAR,10562896.185373401,ZAR
ACL,ArcelorMittal South Africa Limited,2025-H2,2025-12-31,-23000000,ZAR,-1139000000,ZAR,-40000000,ZAR,-1027000000,ZAR,1004000000,ZAR
EMH,eMedia Holdings Limited,2025-H1,2025-09-30,644833000,ZAR,-313482000,ZAR,-116535000,ZAR,339810000,ZAR,313023000,ZAR
EMN,eMedia Holdings Limited Class N,2025-H1,2025-09-30,644833000,ZAR,-313482000,ZAR,-116535000,ZAR,339810000,ZAR,313023000,ZAR
CPR,Copper 360 Limited,2025-H1,2025-08-31,-125521000,ZAR,31259000,ZAR,91033000,ZAR,-99542000,ZAR,-25222000,ZAR
EPS,Eastern Platinum Limited,2025-Q4,2025-12-31,-100054710.81262638,ZAR,-49416852.08610173,ZAR,102869809.4558292,ZAR,-166718234.46666667,ZAR,66663570.88210036,ZAR
BRN,Brimstone Investment Corporation Limited Class N,2025-H2,2025-12-31,-17408000,ZAR,630475000,ZAR,-617314000,ZAR,-23149000,ZAR,5741000,ZAR
TPC,Transpaco Limited,2026-H1,2025-12-31,264081000.00000003,ZAR,-78125000,ZAR,-146674000,ZAR,184706000,ZAR,79375000,ZAR
SSK,Stefanutti Stocks Holdings Limited,2025-H1,2025-08-31,-168773000,ZAR,-103357000,ZAR,-205067000,ZAR,-372116000,ZAR,203343000,ZAR
DNB,Deneb Investments Limited,2025-H1,2025-09-30,291517000,ZAR,-28966000,ZAR,-138882000,ZAR,240069000,ZAR,51623000,ZAR
ACT,AfroCentric Investment Corporation Limited,2025-H2,2025-12-31,743396000,ZAR,-221758000,ZAR,-129017000,ZAR,646939000,ZAR,219343000,ZAR
APF,Accelerate Property Fund Ltd.,2025-H1,2025-09-30,61609000,ZAR,-65614999.99999999,ZAR,86964000,ZAR,,,0,ZAR
MTA,Metair Investments Limited,2025-H2,2025-12-31,1242332000,ZAR,-679951000,ZAR,-179115000,ZAR,851685000,ZAR,490231000,ZAR
SNV,Santova Limited,2025-H1,2025-08-31,193347000,ZAR,-264622000,ZAR,27984000,ZAR,188981000,ZAR,6759000,ZAR
BCF,Bowler Metcalf Limited,2026-H1,2025-12-31,262003000,ZAR,-65653000.00000001,ZAR,-55045000,ZAR,195685000,ZAR,66318000,ZAR
EPE,EPE Capital Partners Ltd. Class A,2026-H1,2025-12-31,-73262000.0003432,ZAR,312345000.000234,ZAR,-236933999.99988303,ZAR,,,0,ZAR
YRK,York Timber Holdings Limited,2026-H1,2025-12-31,149875000,ZAR,-128940000,ZAR,-38423000,ZAR,60388000,ZAR,89487000,ZAR
GPL,Grand Parade Investments Limited,2026-H1,2025-12-31,18753000,ZAR,600000,ZAR,-973000,ZAR,18753000,ZAR,0,ZAR
MST,Mustek Limited,2026-H1,2025-12-31,60298000,ZAR,-6834000,ZAR,-16166000,ZAR,50709000,ZAR,10880000,ZAR
NTU,Nutun Limited,2025-H2,2025-09-30,-297000000,ZAR,603000000,ZAR,-787000000,ZAR,-348000000,ZAR,74000000,ZAR
TEX,Texton Property Fund Limited,2026-H1,2025-12-31,90090000,ZAR,85103000,ZAR,-505970000,ZAR,85996000,ZAR,4094000.0000000005,ZAR
SZK,SAB Zenzele Kabili Holdings (RF) Limited,2025-H2,2025-12-31,92439000,ZAR,699000,ZAR,-66641000.00000001,ZAR,92439000,ZAR,0,ZAR
ENX,enX Group Limited,2025-H2,2025-08-31,,,,,,,,,,
ADR,Adcorp Holdings Limited,2025-H1,2025-08-31,112268000,ZAR,-5462000,ZAR,-114358000,ZAR,110633000,ZAR,5625000,ZAR
RMH,RMB Holdings Limited,2025-H2,2025-09-30,-24000000,ZAR,4000000,ZAR,0,ZAR,-24000000,ZAR,0,ZAR
NWL,Nu-World Holdings Limited,2026-H1,2026-02-28,-50784000,ZAR,-275000,ZAR,-57355000,ZAR,-51248000,ZAR,464000,ZAR
FGL,Finbond Group Limited,2025-H1,2025-08-31,369242000,ZAR,-461064000,ZAR,194802000,ZAR,327317000,ZAR,44425000,ZAR
HLM,Hulamin Limited,2025-H2,2025-12-31,283793000,ZAR,-582976000,ZAR,327625000,ZAR,-287094000,ZAR,585934000,ZAR
PBT,PBT Holdings Limited,2025-H1,2025-09-30,105006273,ZAR,-5567065,ZAR,-116560798,ZAR,104544180,ZAR,861691,ZAR
AEG,Aveng Limited,2026-H1,2025-12-31,1572595255.78891,ZAR,-553622131.673718,ZAR,-418656310.227789,ZAR,963870400,ZAR,608724858.850599,ZAR
SEP,Sephaku Holdings Limited,2025-H1,2025-09-30,126602234,ZAR,-30767367,ZAR,-58912177,ZAR,82253720,ZAR,44348511,ZAR
NRL,Newpark REIT Ltd.,2025-H1,2025-08-31,59655000,ZAR,-2819000,ZAR,-52626000,ZAR,59655000,ZAR,0,ZAR
CGR,Calgro M3 Holdings Limited,2025-H1,2025-08-31,-82777589,ZAR,-94023894,ZAR,171230997,ZAR,-83687970,ZAR,910384,ZAR
4SI,4Sight Holdings Limited,2025-H1,2025-08-31,47924000.000118494,ZAR,-26743000.000059903,ZAR,-2384000.0000186297,ZAR,43373000,ZAR,10379000.000028199,ZAR
ANI,Afine Investments Limited,2025-H1,2025-08-31,36102663,ZAR,0,ZAR,-36315487,ZAR,36102660,ZAR,0,ZAR
ISA,ISA Holdings Limited,2025-H1,2025-08-31,28973000,ZAR,29000,ZAR,-26162000,ZAR,28971000,ZAR,2000,ZAR
VUN,Vunani Limited,2025-H1,2025-08-31,7342000,ZAR,75374000,ZAR,-49689000,ZAR,4292000,ZAR,61589000,ZAR
MHB,Mahube Infrastructure Ltd.,2025-H1,2025-08-31,15553495,ZAR,1790912,ZAR,-19303400,ZAR,15520810,ZAR,32682.999999999996,ZAR
GRSP,Goldrush Holdings Limited Non-Cum Pref Registered Shs,2025-H1,2025-09-30,,,,,,,,,,
CKS,Crookes Brothers Limited,2025-H1,2025-09-30,99774000,ZAR,-83071000,ZAR,-58792000,ZAR,11858000,ZAR,87916000,ZAR
AME,African Media Entertainment Limited,2025-H1,2025-09-30,63483000,ZAR,-5077000,ZAR,-64539000,ZAR,56861000,ZAR,6622000,ZAR
CCC,Cilo Cybin Holdings Limited,2025-H1,2025-09-30,4184166.0000000005,ZAR,-2805386,ZAR,-4595160,ZAR,1378780,ZAR,2805386,ZAR
PPR,Putprop Limited,2026-H1,2025-12-31,26193000,ZAR,39421000,ZAR,-53134000,ZAR,,,0,ZAR
DLT,Delta Property Fund Limited,2025-H1,2025-08-31,135486000,ZAR,-61501000,ZAR,-60380000,ZAR,135125000,ZAR,361000,ZAR
HUG,Huge Group Limited,2025-H1,2025-08-31,3456000,ZAR,-47320000,ZAR,0,ZAR,3350000,ZAR,106000,ZAR
TMT,Trematon Capital Investments Limited,2025-H2,2025-08-31,-32740752,ZAR,78699886,ZAR,-165680781,ZAR,-37811690,ZAR,5756703,ZAR
ISB,Insimbi Industrial Holdings Limited,2025-H1,2025-08-31,-63005000,ZAR,5060000,ZAR,15302000,ZAR,-67075000,ZAR,4070000.0000000005,ZAR
PMV,Primeserv Group Limited,2025-H1,2025-09-30,20283000,ZAR,-8867000,ZAR,-8534000,ZAR,19544000,ZAR,739000,ZAR
SOH,South Ocean Holdings Limited,2025-H2,2025-12-31,-92874000,ZAR,-28967000,ZAR,-45320000,ZAR,-122017000,ZAR,29143000,ZAR
AOO,African and Overseas Enterprises Limited,2026-H1,2025-12-31,96291000,ZAR,-52257000,ZAR,-19987000,ZAR,76961000,ZAR,24713000,ZAR
NCS,Nictus Ltd.,2025-H1,2025-09-30,171466000,ZAR,3451000,ZAR,-8888000,ZAR,169840000,ZAR,1626000,ZAR
TRL,Trellidor Holdings Ltd.,2026-H1,2025-12-31,18713186,ZAR,15458870,ZAR,-54345411,ZAR,13225410,ZAR,6042512,ZAR
MTU,Mantengu Limited,2025-H1,2025-08-31,-144508000,ZAR,-61329000,ZAR,210249000,ZAR,,,21067000,ZAR
RHB,RH Bophelo Ltd.,2025-H1,2025-08-31,-8267488,ZAR,-16740362.000000002,ZAR,14076085,ZAR,-8267490,ZAR,0,ZAR
BIK,Brikor Limited,2025-H1,2025-08-31,6757000,ZAR,1474000,ZAR,-11602000,ZAR,4925000,ZAR,1832000,ZAR
SKA,Shuka Minerals PLC,2025-H2,2025-12-31,,,,,,,,,,
RNG,Randgold & Exploration Company Ltd,2025-H2,2025-12-31,-13894000,ZAR,15386000,ZAR,0,ZAR,-13894000,ZAR,0,ZAR
TLM,TeleMasters Holdings Ltd.,2026-H1,2025-12-31,7950348,ZAR,-6313036,ZAR,-2694606,ZAR,1438870,ZAR,6511474,ZAR
LAB,Labat Africa Ltd,2025-H1,2025-11-30,27264000,ZAR,-5610000,ZAR,-28499000,ZAR,26659000,ZAR,1121000,ZAR
XII,Numeral Limited,2025-Q3,2025-11-30,-35619775.8302776,ZAR,-8881875.079534799,ZAR,44425293.053105794,ZAR,,,0,ZAR
VIS,Visual International Holdings Ltd.,2025-H1,2025-08-31,309506,ZAR,109046,ZAR,-413578,ZAR,305450,ZAR,4054.0000000000005,ZAR
EUZ,Europa Metals Limited,2026-H1,2025-12-31,,,,,,,,,,
BAC,Africa Bitcoin Corporation Limited,,,,,,,,,,,,
